Survey_number,Date,Start_time,End_time,PM,Temperature,Cloud,Wind,Rain_24,Rain_during,Weather_notes
2015-1,2/02/2015,10:00,12:30,0,21,0.250,3,,0,"Sunny, warm"
2015-2,2/02/2015,13:00,15:30,1,18,0.750,3,,1,"Patches of weak sun, rain light (on and off)."
2015-3,3/02/2015,9:30,12:30,0,13,0.750,4,,0,Cold!
2015-4,3/02/2015,12:00,14:30,1,14,0.375,3,,0,"Patchy sun, improving"
2015-5,8/02/2015,10:00,12:30,0,21,0.125,2,,0,Clear
2015-6,8/02/2015,13:30,16:00,1,27,0.125,3,,0,Too hot
2016-1,21/03/2016,15:00,18:00,1,17.5,0.125,1,0,0,Dry
2016-2,22/03/2016,9:00,12:00,0,17.5,0.125,1,0,0,Dry
2016-3,22/03/2016,15:00,18:00,1,22.5,0.125,1,0,0,Dry
2016-4,23/03/2016,9:00,12:00,0,12.5,0.125,1,0,0,Dry
2016-5,23/03/2016,15:00,18:00,1,12.5,1.000,1,0,1,Estimated RH = 90%. Raining.
2016-6,24/03/2016,9:00,12:00,0,12.5,1.000,2,1,1,"RH = 100%, rained all day."
2016-7,24/03/2016,15:00,18:00,1,12.5,1.000,2,1,1,"RH = 100%, rained all day."
2017-1,15/03/2017,15:00,18:00,1,22.5,0.000,1,0,0,Hot
2017-2,16/03/2017,9:00,12:00,0,17.5,0.125,0,0,0,"Dry, hot"
2017-3,16/03/2017,15:00,18:00,1,27.5,0,2,0,0,"Dry, hot"
2017-4,17/03/2017,9:00,12:00,0,17.5,0,3,0,0,"Dry, strong westerly. "
2017-5,17/03/2017,15:00,18:00,1,17.5,0,3,0,0,"Dry, strong westerly. "
2017-6,18/03/2017,9:00,12:00,0,12.5,0.125,2,1,0,"Dry, wind chill, rain overnight only. "
2017-7,18/03/2017,15:00,18:00,1,17.5,0.5,2,1,0,"Dry, rain overnight only, part-cloudy, sunspots and cool wind."
2017-8,19/03/2017,9:00,12:00,0,12.5,0.25,2,0,0,"Dry, cool air, sunny."
2017-9,19/03/2017,15:00,18:00,1,17.5,0.25,2,0,0,"Dry, high cloud."
